title,box_office,genres_IMDB,release_year,averageRating,numVotes,GPE_entities,GPE_US_frequencies,Percentage_american_culture
Wrecked,,,2011.0,,,[],Counter(),0.0
Jayne Mansfield's Car,,Drama,2012.0,6.2,3661.0,"['Alabama', 'London']","Counter({'Alabama': 1, 'London': 1})",1.0
Out of Control,,,2003.0,,,"['the United States of America', 'America', 'India', 'India', 'America', 'India', 'India', 'the United States', 'India', 'India', 'New York', 'New York', 'New York']",Counter({'New York': 3}),0.23076923076923078
Saving Face,,"Documentary,Drama,Short",2012.0,8.0,1532.0,"['London', 'Pakistan', 'Pakistan', 'Pakistan', 'Pakistan']",Counter({'London': 1}),0.2
The Mangler,1781383.0,,1995.0,,,[],Counter(),0.0
Blowup,20000000.0,,1966.0,,,"['Swinging London', 'London', 'Paris', 'Paris']","Counter({'Paris': 2, 'London': 1})",0.75
Speedway Junky,,,1999.0,,,"['Las Vegas', 'Charlotte', 'North Carolina', 'Charlotte']","Counter({'Charlotte': 2, 'Las Vegas': 1, 'North Carolina': 1})",1.0
Collaborator,,,2011.0,,,[],Counter(),0.0
Hot Potato,,,,,,"['Chang Lan', 'U.S.', 'Chang Lan', 'U.S.', 'Texas', 'Chicago']","Counter({'Texas': 1, 'Chicago': 1})",0.3333333333333333
The Fly II,38903179.0,"Drama,Horror,Sci-Fi",1989.0,5.1,25234.0,[],Counter(),0.0
Mystic River,156822020.0,"Crime,Drama,Mystery",2003.0,7.9,494797.0,"['Boston', 'Boston', 'Las Vegas']","Counter({'Boston': 2, 'Las Vegas': 1})",1.0
Rambo,113244290.0,"Action,Adventure,Thriller",2008.0,7.0,247928.0,"['Afghanistan', 'Burma', 'U.S.', 'Thailand', 'Burma', 'Burma', 'the United States']",Counter(),0.0
Kiss of the Spider Woman,17005229.0,Drama,1985.0,7.3,17757.0,[],Counter(),0.0
Prom Night,14796236.0,,1980.0,,,[],Counter(),0.0
Threads,,,1984.0,,,"['the Soviet Union', 'Iran', 'United States', 'Mashhad', 'Britain', 'Sheffield', 'Sheffield', 'Sheffield', 'the United Kingdom', 'Sheffield', 'Sheffield', 'Buxton', 'Sheffield', 'Sheffield', 'Sheffield', 'Britain']","Counter({'Sheffield': 8, 'Buxton': 1})",0.5625
Attila,,,2001.0,,,[],Counter(),0.0
Starter for Ten,1736394.0,,2006.0,,,"['Southend-on-Sea', 'Essex']",Counter({'Essex': 1}),0.5
Otello,,,1986.0,,,[],Counter(),0.0
Krull,16519463.0,"Action,Adventure,Fantasy",1983.0,6.1,36987.0,[],Counter(),0.0
Octopussy,187500000.0,"Action,Adventure,Thriller",1983.0,6.5,114897.0,"['East Berlin', 'London', 'Rajasthan', 'India', 'Udaipur', 'India', 'East Germany', 'East Germany', 'West Germany', 'US', 'India', 'India']","Counter({'East Berlin': 1, 'London': 1})",0.16666666666666666
Deranged,,,1974.0,,,[],Counter(),0.0
Youth Without Youth,2624759.0,,2007.0,,,"['Bucharest', 'Romania', 'Romania', 'Switzerland', 'India', 'India', 'Malta', 'France']","Counter({'Switzerland': 1, 'Malta': 1})",0.25
Los Rubios,,,2003.0,,,[],Counter(),0.0
"Mystery, Alaska",8891623.0,"Comedy,Drama,Sport",1999.0,6.7,28709.0,"['Alaska', 'Mystery', 'Mystery', 'Alaska']",Counter({'Alaska': 2}),0.5
Transsiberian,5924914.0,,2008.0,,,"['Beijing', 'Moscow', 'China', 'Seattle', 'Irkutsk', 'Ilanskaya', 'Moscow', 'U.S.', 'Moscow', 'Vancouver']","Counter({'Moscow': 3, 'China': 1, 'Seattle': 1, 'Vancouver': 1})",0.6
El Cid,30000000.0,,1961.0,,,"['Zaragosa', 'Valencia', 'Castile', 'Calahorra', 'Castille', 'Valencia']","Counter({'Valencia': 2, 'Castile': 1})",0.5
Love and Money,,,1982.0,,,"['California', 'Costa Salva']",Counter({'California': 1}),0.5
I'm With Lucy,,,2002.0,,,[],Counter(),0.0
The Yellow Sea,15789762.0,,2010.0,,,"['the Yanbian Province', 'China', 'South Korea', 'South Korea', 'South Korea', 'South Korea']",Counter({'China': 1}),0.16666666666666666
