year,ceremony,award,winner,nominee,film
1955,28,Actor,True,Ernest Borgnine,Marty
1955,28,Actor,False,James Cagney,Love Me or Leave Me
1955,28,Actor,False,James Dean,East of Eden
1955,28,Actor,False,Frank Sinatra,The Man with the Golden Arm
1955,28,Actor,False,Spencer Tracy,Bad Day at Black Rock
1955,28,Actor in a Supporting Role,False,Arthur Kennedy,Trial
1955,28,Actor in a Supporting Role,True,Jack Lemmon,Mister Roberts
1955,28,Actor in a Supporting Role,False,Joe Mantell,Marty
1955,28,Actor in a Supporting Role,False,Sal Mineo,Rebel without a Cause
1955,28,Actor in a Supporting Role,False,Arthur O'Connell,Picnic
1955,28,Actress,False,Susan Hayward,I'll Cry Tomorrow
1955,28,Actress,False,Katharine Hepburn,Summertime
1955,28,Actress,False,Jennifer Jones,Love Is a Many-Splendored Thing
1955,28,Actress,True,Anna Magnani,The Rose Tattoo
1955,28,Actress,False,Eleanor Parker,Interrupted Melody
1955,28,Actress in a Supporting Role,False,Betsy Blair,Marty
1955,28,Actress in a Supporting Role,False,Peggy Lee,Pete Kelly's Blues
1955,28,Actress in a Supporting Role,False,Marisa Pavan,The Rose Tattoo
1955,28,Actress in a Supporting Role,True,Jo Van Fleet,East of Eden
1955,28,Actress in a Supporting Role,False,Natalie Wood,Rebel without a Cause
1956,29,Actor,True,Yul Brynner,The King and I
1956,29,Actor,False,James Dean,Giant
1956,29,Actor,False,Kirk Douglas,Lust for Life
1956,29,Actor,False,Rock Hudson,Giant
1956,29,Actor,False,Sir Laurence Olivier,Richard III
1956,29,Actor in a Supporting Role,False,Don Murray,Bus Stop
1956,29,Actor in a Supporting Role,False,Anthony Perkins,Friendly Persuasion
1956,29,Actor in a Supporting Role,True,Anthony Quinn,Lust for Life
1956,29,Actor in a Supporting Role,False,Mickey Rooney,The Bold and the Brave
1956,29,Actor in a Supporting Role,False,Robert Stack,Written on the Wind
1956,29,Actress,False,Carroll Baker,Baby Doll
1956,29,Actress,True,Ingrid Bergman,Anastasia
1956,29,Actress,False,Katharine Hepburn,The Rainmaker
1956,29,Actress,False,Nancy Kelly,The Bad Seed
1956,29,Actress,False,Deborah Kerr,The King and I
1956,29,Actress in a Supporting Role,False,Mildred Dunnock,Baby Doll
1956,29,Actress in a Supporting Role,False,Eileen Heckart,The Bad Seed
1956,29,Actress in a Supporting Role,False,Mercedes McCambridge,Giant
1956,29,Actress in a Supporting Role,False,Patty McCormack,The Bad Seed
1956,29,Actress in a Supporting Role,True,Dorothy Malone,Written on the Wind
1957,30,Actor,False,Marlon Brando,Sayonara
1957,30,Actor,False,Anthony Franciosa,A Hatful of Rain
1957,30,Actor,True,Alec Guinness,The Bridge on the River Kwai
1957,30,Actor,False,Charles Laughton,Witness for the Prosecution
1957,30,Actor,False,Anthony Quinn,Wild Is the Wind
1957,30,Actor in a Supporting Role,True,Red Buttons,Sayonara
1957,30,Actor in a Supporting Role,False,Vittorio De Sica,A Farewell to Arms
1957,30,Actor in a Supporting Role,False,Sessue Hayakawa,The Bridge on the River Kwai
1957,30,Actor in a Supporting Role,False,Arthur Kennedy,Peyton Place
1957,30,Actor in a Supporting Role,False,Russ Tamblyn,Peyton Place
1957,30,Actress,False,Deborah Kerr,"Heaven Knows, Mr. Allison"
1957,30,Actress,False,Anna Magnani,Wild Is the Wind
1957,30,Actress,False,Elizabeth Taylor,Raintree County
1957,30,Actress,False,Lana Turner,Peyton Place
1957,30,Actress,True,Joanne Woodward,The Three Faces of Eve
1957,30,Actress in a Supporting Role,False,Carolyn Jones,The Bachelor Party
1957,30,Actress in a Supporting Role,False,Elsa Lanchester,Witness for the Prosecution
1957,30,Actress in a Supporting Role,False,Hope Lange,Peyton Place
1957,30,Actress in a Supporting Role,True,Miyoshi Umeki,Sayonara
1957,30,Actress in a Supporting Role,False,Diane Varsi,Peyton Place
1958,31,Actor,False,Tony Curtis,The Defiant Ones
1958,31,Actor,False,Paul Newman,Cat on a Hot Tin Roof
1958,31,Actor,True,David Niven,Separate Tables
1958,31,Actor,False,Sidney Poitier,The Defiant Ones
1958,31,Actor,False,Spencer Tracy,The Old Man and the Sea
1958,31,Actor in a Supporting Role,False,Theodore Bikel,The Defiant Ones
1958,31,Actor in a Supporting Role,False,Lee J. Cobb,The Brothers Karamazov
1958,31,Actor in a Supporting Role,True,Burl Ives,The Big Country
1958,31,Actor in a Supporting Role,False,Arthur Kennedy,Some Came Running
1958,31,Actor in a Supporting Role,False,Gig Young,Teacher's Pet
1958,31,Actress,True,Susan Hayward,I Want to Live!
1958,31,Actress,False,Deborah Kerr,Separate Tables
1958,31,Actress,False,Shirley MacLaine,Some Came Running
1958,31,Actress,False,Rosalind Russell,Auntie Mame
1958,31,Actress,False,Elizabeth Taylor,Cat on a Hot Tin Roof
1958,31,Actress in a Supporting Role,False,Peggy Cass,Auntie Mame
1958,31,Actress in a Supporting Role,True,Wendy Hiller,Separate Tables
1958,31,Actress in a Supporting Role,False,Martha Hyer,Some Came Running
1958,31,Actress in a Supporting Role,False,Maureen Stapleton,Lonelyhearts
1958,31,Actress in a Supporting Role,False,Cara Williams,The Defiant Ones
1959,32,Actor,False,Laurence Harvey,Room at the Top
1959,32,Actor,True,Charlton Heston,Ben-Hur
1959,32,Actor,False,Jack Lemmon,Some Like It Hot
1959,32,Actor,False,Paul Muni,The Last Angry Man
1959,32,Actor,False,James Stewart,Anatomy of a Murder
1959,32,Actor in a Supporting Role,True,Hugh Griffith,Ben-Hur
1959,32,Actor in a Supporting Role,False,Arthur O'Connell,Anatomy of a Murder
1959,32,Actor in a Supporting Role,False,George C. Scott,Anatomy of a Murder
1959,32,Actor in a Supporting Role,False,Robert Vaughn,The Young Philadelphians
1959,32,Actor in a Supporting Role,False,Ed Wynn,The Diary of Anne Frank
1959,32,Actress,False,Doris Day,Pillow Talk
1959,32,Actress,False,Audrey Hepburn,The Nun's Story
1959,32,Actress,False,Katharine Hepburn,"Suddenly, Last Summer"
1959,32,Actress,True,Simone Signoret,Room at the Top
1959,32,Actress,False,Elizabeth Taylor,"Suddenly, Last Summer"
1959,32,Actress in a Supporting Role,False,Hermione Baddeley,Room at the Top
1959,32,Actress in a Supporting Role,False,Susan Kohner,Imitation of Life
1959,32,Actress in a Supporting Role,False,Juanita Moore,Imitation of Life
1959,32,Actress in a Supporting Role,False,Thelma Ritter,Pillow Talk
1959,32,Actress in a Supporting Role,True,Shelley Winters,The Diary of Anne Frank
1960,33,Actor,False,Trevor Howard,Sons and Lovers
1960,33,Actor,True,Burt Lancaster,Elmer Gantry
1960,33,Actor,False,Jack Lemmon,The Apartment
1960,33,Actor,False,Laurence Olivier,The Entertainer
1960,33,Actor,False,Spencer Tracy,Inherit the Wind
1960,33,Actor in a Supporting Role,False,Peter Falk,"Murder, Inc."
1960,33,Actor in a Supporting Role,False,Jack Kruschen,The Apartment
1960,33,Actor in a Supporting Role,False,Sal Mineo,Exodus
1960,33,Actor in a Supporting Role,True,Peter Ustinov,Spartacus
1960,33,Actor in a Supporting Role,False,Chill Wills,The Alamo
1960,33,Actress,False,Greer Garson,Sunrise at Campobello
1960,33,Actress,False,Deborah Kerr,The Sundowners
1960,33,Actress,False,Shirley MacLaine,The Apartment
1960,33,Actress,False,Melina Mercouri,Never on Sunday
1960,33,Actress,True,Elizabeth Taylor,Butterfield 8
1960,33,Actress in a Supporting Role,False,Glynis Johns,The Sundowners
1960,33,Actress in a Supporting Role,True,Shirley Jones,Elmer Gantry
1960,33,Actress in a Supporting Role,False,Shirley Knight,The Dark at the Top of the Stairs
1960,33,Actress in a Supporting Role,False,Janet Leigh,Psycho
1960,33,Actress in a Supporting Role,False,Mary Ure,Sons and Lovers
1961,34,Actor,False,Charles Boyer,Fanny
1961,34,Actor,False,Paul Newman,The Hustler
1961,34,Actor,True,Maximilian Schell,Judgment at Nuremberg
1961,34,Actor,False,Spencer Tracy,Judgment at Nuremberg
1961,34,Actor,False,Stuart Whitman,The Mark
1961,34,Actor in a Supporting Role,True,George Chakiris,West Side Story
1961,34,Actor in a Supporting Role,False,Montgomery Clift,Judgment at Nuremberg
1961,34,Actor in a Supporting Role,False,Peter Falk,Pocketful of Miracles
1961,34,Actor in a Supporting Role,False,Jackie Gleason,The Hustler
1961,34,Actor in a Supporting Role,False,George C. Scott,The Hustler
1961,34,Actress,False,Audrey Hepburn,Breakfast at Tiffany's
1961,34,Actress,False,Piper Laurie,The Hustler
1961,34,Actress,True,Sophia Loren,Two Women
1961,34,Actress,False,Geraldine Page,Summer and Smoke
1961,34,Actress,False,Natalie Wood,Splendor in the Grass
1961,34,Actress in a Supporting Role,False,Fay Bainter,The Children's Hour
1961,34,Actress in a Supporting Role,False,Judy Garland,Judgment at Nuremberg
1961,34,Actress in a Supporting Role,False,Lotte Lenya,The Roman Spring of Mrs. Stone
1961,34,Actress in a Supporting Role,False,Una Merkel,Summer and Smoke
1961,34,Actress in a Supporting Role,True,Rita Moreno,West Side Story
1962,35,Actor,False,Burt Lancaster,Birdman of Alcatraz
1962,35,Actor,False,Jack Lemmon,Days of Wine and Roses
1962,35,Actor,False,Marcello Mastroianni,Divorce--Italian Style
1962,35,Actor,False,Peter O'Toole,Lawrence of Arabia
1962,35,Actor,True,Gregory Peck,To Kill a Mockingbird
1962,35,Actor in a Supporting Role,True,Ed Begley,Sweet Bird of Youth
1962,35,Actor in a Supporting Role,False,Victor Buono,What Ever Happened to Baby Jane?
1962,35,Actor in a Supporting Role,False,Telly Savalas,Birdman of Alcatraz
1962,35,Actor in a Supporting Role,False,Omar Sharif,Lawrence of Arabia
1962,35,Actor in a Supporting Role,False,Terence Stamp,Billy Budd
1962,35,Actress,True,Anne Bancroft,The Miracle Worker
1962,35,Actress,False,Bette Davis,What Ever Happened to Baby Jane?
1962,35,Actress,False,Katharine Hepburn,Long Day's Journey into Night
1962,35,Actress,False,Geraldine Page,Sweet Bird of Youth
1962,35,Actress,False,Lee Remick,Days of Wine and Roses
1962,35,Actress in a Supporting Role,False,Mary Badham,To Kill a Mockingbird
1962,35,Actress in a Supporting Role,True,Patty Duke,The Miracle Worker
1962,35,Actress in a Supporting Role,False,Shirley Knight,Sweet Bird of Youth
1962,35,Actress in a Supporting Role,False,Angela Lansbury,The Manchurian Candidate
1962,35,Actress in a Supporting Role,False,Thelma Ritter,Birdman of Alcatraz
1963,36,Actor,False,Albert Finney,Tom Jones
1963,36,Actor,False,Richard Harris,This Sporting Life
1963,36,Actor,False,Rex Harrison,Cleopatra
1963,36,Actor,False,Paul Newman,Hud
1963,36,Actor,True,Sidney Poitier,Lilies of the Field
1963,36,Actor in a Supporting Role,False,Nick Adams,Twilight of Honor
1963,36,Actor in a Supporting Role,False,Bobby Darin,"Captain Newman, M.D."
1963,36,Actor in a Supporting Role,True,Melvyn Douglas,Hud
1963,36,Actor in a Supporting Role,False,Hugh Griffith,Tom Jones
1963,36,Actor in a Supporting Role,False,John Huston,The Cardinal
1963,36,Actress,False,Leslie Caron,The L-Shaped Room
1963,36,Actress,False,Shirley MacLaine,Irma La Douce
1963,36,Actress,True,Patricia Neal,Hud
1963,36,Actress,False,Rachel Roberts,This Sporting Life
1963,36,Actress,False,Natalie Wood,Love with the Proper Stranger
1963,36,Actress in a Supporting Role,False,Diane Cilento,Tom Jones
1963,36,Actress in a Supporting Role,False,Dame Edith Evans,Tom Jones
1963,36,Actress in a Supporting Role,False,Joyce Redman,Tom Jones
1963,36,Actress in a Supporting Role,True,Margaret Rutherford,The V.I.P.s
1963,36,Actress in a Supporting Role,False,Lilia Skala,Lilies of the Field
1964,37,Actor,False,Richard Burton,Becket
1964,37,Actor,True,Rex Harrison,My Fair Lady
1964,37,Actor,False,Peter O'Toole,Becket
1964,37,Actor,False,Anthony Quinn,Zorba the Greek
1964,37,Actor,False,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
1964,37,Actor in a Supporting Role,False,John Gielgud,Becket
1964,37,Actor in a Supporting Role,False,Stanley Holloway,My Fair Lady
1964,37,Actor in a Supporting Role,False,Edmond O'Brien,Seven Days in May
1964,37,Actor in a Supporting Role,False,Lee Tracy,The Best Man
1964,37,Actor in a Supporting Role,True,Peter Ustinov,Topkapi
1964,37,Actress,True,Julie Andrews,Mary Poppins
1964,37,Actress,False,Anne Bancroft,The Pumpkin Eater
1964,37,Actress,False,Sophia Loren,Marriage Italian Style
1964,37,Actress,False,Debbie Reynolds,The Unsinkable Molly Brown
1964,37,Actress,False,Kim Stanley,Seance on a Wet Afternoon
1964,37,Actress in a Supporting Role,False,Gladys Cooper,My Fair Lady
1964,37,Actress in a Supporting Role,False,Dame Edith Evans,The Chalk Garden
1964,37,Actress in a Supporting Role,False,Grayson Hall,The Night of the Iguana
1964,37,Actress in a Supporting Role,True,Lila Kedrova,Zorba the Greek
1964,37,Actress in a Supporting Role,False,Agnes Moorehead,"Hush...Hush, Sweet Charlotte"
1965,38,Actor,False,Richard Burton,The Spy Who Came In from the Cold
1965,38,Actor,True,Lee Marvin,Cat Ballou
1965,38,Actor,False,Laurence Olivier,Othello
1965,38,Actor,False,Rod Steiger,The Pawnbroker
1965,38,Actor,False,Oskar Werner,Ship of Fools
1965,38,Actor in a Supporting Role,True,Martin Balsam,A Thousand Clowns
1965,38,Actor in a Supporting Role,False,Ian Bannen,The Flight of the Phoenix
1965,38,Actor in a Supporting Role,False,Tom Courtenay,Doctor Zhivago
1965,38,Actor in a Supporting Role,False,Michael Dunn,Ship of Fools
1965,38,Actor in a Supporting Role,False,Frank Finlay,Othello
1965,38,Actress,False,Julie Andrews,The Sound of Music
1965,38,Actress,True,Julie Christie,Darling
1965,38,Actress,False,Samantha Eggar,The Collector
1965,38,Actress,False,Elizabeth Hartman,A Patch of Blue
1965,38,Actress,False,Simone Signoret,Ship of Fools
1965,38,Actress in a Supporting Role,False,Ruth Gordon,Inside Daisy Clover
1965,38,Actress in a Supporting Role,False,Joyce Redman,Othello
1965,38,Actress in a Supporting Role,False,Maggie Smith,Othello
1965,38,Actress in a Supporting Role,True,Shelley Winters,A Patch of Blue
1965,38,Actress in a Supporting Role,False,Peggy Wood,The Sound of Music
1966,39,Actor,False,Alan Arkin,The Russians Are Coming The Russians Are Coming
1966,39,Actor,False,Richard Burton,Who's Afraid of Virginia Woolf?
1966,39,Actor,False,Michael Caine,Alfie
1966,39,Actor,False,Steve McQueen,The Sand Pebbles
1966,39,Actor,True,Paul Scofield,A Man for All Seasons
1966,39,Actor in a Supporting Role,False,Mako,The Sand Pebbles
1966,39,Actor in a Supporting Role,False,James Mason,Georgy Girl
1966,39,Actor in a Supporting Role,True,Walter Matthau,The Fortune Cookie
1966,39,Actor in a Supporting Role,False,George Segal,Who's Afraid of Virginia Woolf?
1966,39,Actor in a Supporting Role,False,Robert Shaw,A Man for All Seasons
1966,39,Actress,False,Anouk Aimee,A Man and a Woman
1966,39,Actress,False,Ida Kaminska,The Shop on Main Street
1966,39,Actress,False,Lynn Redgrave,Georgy Girl
1966,39,Actress,False,Vanessa Redgrave,Morgan!
1966,39,Actress,True,Elizabeth Taylor,Who's Afraid of Virginia Woolf?
1966,39,Actress in a Supporting Role,True,Sandy Dennis,Who's Afraid of Virginia Woolf?
1966,39,Actress in a Supporting Role,False,Wendy Hiller,A Man for All Seasons
1966,39,Actress in a Supporting Role,False,Jocelyne Lagarde,Hawaii
1966,39,Actress in a Supporting Role,False,Vivien Merchant,Alfie
1966,39,Actress in a Supporting Role,False,Geraldine Page,You're a Big Boy Now
1967,40,Actor,False,Warren Beatty,Bonnie and Clyde
1967,40,Actor,False,Dustin Hoffman,The Graduate
1967,40,Actor,False,Paul Newman,Cool Hand Luke
1967,40,Actor,True,Rod Steiger,In the Heat of the Night
1967,40,Actor,False,Spencer Tracy,Guess Who's Coming to Dinner
1967,40,Actor in a Supporting Role,False,John Cassavetes,The Dirty Dozen
1967,40,Actor in a Supporting Role,False,Gene Hackman,Bonnie and Clyde
1967,40,Actor in a Supporting Role,False,Cecil Kellaway,Guess Who's Coming to Dinner
1967,40,Actor in a Supporting Role,True,George Kennedy,Cool Hand Luke
1967,40,Actor in a Supporting Role,False,Michael J. Pollard,Bonnie and Clyde
1967,40,Actress,False,Anne Bancroft,The Graduate
1967,40,Actress,False,Faye Dunaway,Bonnie and Clyde
1967,40,Actress,False,Dame Edith Evans,The Whisperers
1967,40,Actress,False,Audrey Hepburn,Wait until Dark
1967,40,Actress,True,Katharine Hepburn,Guess Who's Coming to Dinner
1967,40,Actress in a Supporting Role,False,Carol Channing,Thoroughly Modern Millie
1967,40,Actress in a Supporting Role,False,Mildred Natwick,Barefoot in the Park
1967,40,Actress in a Supporting Role,True,Estelle Parsons,Bonnie and Clyde
1967,40,Actress in a Supporting Role,False,Beah Richards,Guess Who's Coming to Dinner
1967,40,Actress in a Supporting Role,False,Katharine Ross,The Graduate
1968,41,Actor,False,Alan Arkin,The Heart Is a Lonely Hunter
1968,41,Actor,False,Alan Bates,The Fixer
1968,41,Actor,False,Ron Moody,Oliver!
1968,41,Actor,False,Peter O'Toole,The Lion in Winter
1968,41,Actor,True,Cliff Robertson,Charly
1968,41,Actor in a Supporting Role,True,Jack Albertson,The Subject Was Roses
1968,41,Actor in a Supporting Role,False,Seymour Cassel,Faces
1968,41,Actor in a Supporting Role,False,Daniel Massey,Star!
1968,41,Actor in a Supporting Role,False,Jack Wild,Oliver!
1968,41,Actor in a Supporting Role,False,Gene Wilder,The Producers
1968,41,Actress,True,Katharine Hepburn,The Lion in Winter
1968,41,Actress,False,Patricia Neal,The Subject Was Roses
1968,41,Actress,False,Vanessa Redgrave,Isadora
1968,41,Actress,True,Barbra Streisand,Funny Girl
1968,41,Actress,False,Joanne Woodward,"Rachel, Rachel"
1968,41,Actress in a Supporting Role,False,Lynn Carlin,Faces
1968,41,Actress in a Supporting Role,True,Ruth Gordon,Rosemary's Baby
1968,41,Actress in a Supporting Role,False,Sondra Locke,The Heart Is a Lonely Hunter
1968,41,Actress in a Supporting Role,False,Kay Medford,Funny Girl
1968,41,Actress in a Supporting Role,False,Estelle Parsons,"Rachel, Rachel"
1969,42,Actor,False,Richard Burton,Anne of the Thousand Days
1969,42,Actor,False,Dustin Hoffman,Midnight Cowboy
1969,42,Actor,False,Peter O'Toole,"Goodbye, Mr. Chips"
1969,42,Actor,False,Jon Voight,Midnight Cowboy
1969,42,Actor,True,John Wayne,True Grit
1969,42,Actor in a Supporting Role,False,Rupert Crosse,The Reivers
1969,42,Actor in a Supporting Role,False,Elliott Gould,Bob & Carol & Ted & Alice
1969,42,Actor in a Supporting Role,False,Jack Nicholson,Easy Rider
1969,42,Actor in a Supporting Role,False,Anthony Quayle,Anne of the Thousand Days
1969,42,Actor in a Supporting Role,True,Gig Young,"They Shoot Horses, Don't They?"
1969,42,Actress,False,Genevieve Bujold,Anne of the Thousand Days
1969,42,Actress,False,Jane Fonda,"They Shoot Horses, Don't They?"
1969,42,Actress,False,Liza Minnelli,The Sterile Cuckoo
1969,42,Actress,False,Jean Simmons,The Happy Ending
1969,42,Actress,True,Maggie Smith,The Prime of Miss Jean Brodie
1969,42,Actress in a Supporting Role,False,Catherine Burns,Last Summer
1969,42,Actress in a Supporting Role,False,Dyan Cannon,Bob & Carol & Ted & Alice
1969,42,Actress in a Supporting Role,True,Goldie Hawn,Cactus Flower
1969,42,Actress in a Supporting Role,False,Sylvia Miles,Midnight Cowboy
1969,42,Actress in a Supporting Role,False,Susannah York,"They Shoot Horses, Don't They?"
1970,43,Actor,False,Melvyn Douglas,I Never Sang for My Father
1970,43,Actor,False,James Earl Jones,The Great White Hope
1970,43,Actor,False,Jack Nicholson,Five Easy Pieces
1970,43,Actor,False,Ryan O'Neal,Love Story
1970,43,Actor,True,George C. Scott,Patton
1970,43,Actor in a Supporting Role,False,Richard Castellano,Lovers and Other Strangers
1970,43,Actor in a Supporting Role,False,Chief Dan George,Little Big Man
1970,43,Actor in a Supporting Role,False,Gene Hackman,I Never Sang for My Father
1970,43,Actor in a Supporting Role,False,John Marley,Love Story
1970,43,Actor in a Supporting Role,True,John Mills,Ryan's Daughter
1970,43,Actress,False,Jane Alexander,The Great White Hope
1970,43,Actress,True,Glenda Jackson,Women in Love
1970,43,Actress,False,Ali MacGraw,Love Story
1970,43,Actress,False,Sarah Miles,Ryan's Daughter
1970,43,Actress,False,Carrie Snodgress,Diary of a Mad Housewife
1970,43,Actress in a Supporting Role,False,Karen Black,Five Easy Pieces
1970,43,Actress in a Supporting Role,False,Lee Grant,The Landlord
1970,43,Actress in a Supporting Role,True,Helen Hayes,Airport
1970,43,Actress in a Supporting Role,True,Sally Kellerman,MA*S*H
1970,43,Actress in a Supporting Role,False,Maureen Stapleton,Airport
1971,44,Actor,False,Peter Finch,Sunday Bloody Sunday
1971,44,Actor,True,Gene Hackman,The French Connection
1971,44,Actor,False,Walter Matthau,Kotch
1971,44,Actor,False,George C. Scott,The Hospital
1971,44,Actor,False,Topol,Fiddler on the Roof
1971,44,Actor in a Supporting Role,False,Jeff Bridges,The Last Picture Show
1971,44,Actor in a Supporting Role,False,Leonard Frey,Fiddler on the Roof
1971,44,Actor in a Supporting Role,False,Richard Jaeckel,Sometimes a Great Notion
1971,44,Actor in a Supporting Role,True,Ben Johnson,The Last Picture Show
1971,44,Actor in a Supporting Role,False,Roy Scheider,The French Connection
1971,44,Actress,False,Julie Christie,McCabe & Mrs. Miller
1971,44,Actress,True,Jane Fonda,Klute
1971,44,Actress,False,Glenda Jackson,Sunday Bloody Sunday
1971,44,Actress,False,Vanessa Redgrave,"Mary, Queen of Scots"
1971,44,Actress,False,Janet Suzman,Nicholas and Alexandra
1971,44,Actress in a Supporting Role,False,Ann-Margret,Carnal Knowledge
1971,44,Actress in a Supporting Role,False,Ellen Burstyn,The Last Picture Show
1971,44,Actress in a Supporting Role,False,Barbara Harris,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things about Me?
1971,44,Actress in a Supporting Role,True,Cloris Leachman,The Last Picture Show
1971,44,Actress in a Supporting Role,False,Margaret Leighton,The Go-Between
1972,45,Actor,True,Marlon Brando,The Godfather
1972,45,Actor,False,Michael Caine,Sleuth
1972,45,Actor,False,Laurence Olivier,Sleuth
1972,45,Actor,False,Peter O'Toole,The Ruling Class
1972,45,Actor,False,Paul Winfield,Sounder
1972,45,Actor in a Supporting Role,False,Eddie Albert,The Heartbreak Kid
1972,45,Actor in a Supporting Role,False,James Caan,The Godfather
1972,45,Actor in a Supporting Role,False,Robert Duvall,The Godfather
1972,45,Actor in a Supporting Role,True,Joel Grey,Cabaret
1972,45,Actor in a Supporting Role,False,Al Pacino,The Godfather
1972,45,Actress,True,Liza Minnelli,Cabaret
1972,45,Actress,False,Diana Ross,Lady Sings the Blues
1972,45,Actress,False,Maggie Smith,Travels with My Aunt
1972,45,Actress,False,Cicely Tyson,Sounder
1972,45,Actress,False,Liv Ullmann,The Emigrants
1972,45,Actress in a Supporting Role,False,Jeannie Berlin,The Heartbreak Kid
1972,45,Actress in a Supporting Role,True,Eileen Heckart,Butterflies Are Free
1972,45,Actress in a Supporting Role,False,Geraldine Page,Pete 'n' Tillie
1972,45,Actress in a Supporting Role,False,Susan Tyrrell,Fat City
1972,45,Actress in a Supporting Role,False,Shelley Winters,The Poseidon Adventure
1973,46,Actor,False,Marlon Brando,Last Tango in Paris
1973,46,Actor,True,Jack Lemmon,Save the Tiger
1973,46,Actor,False,Jack Nicholson,The Last Detail
1973,46,Actor,False,Al Pacino,Serpico
1973,46,Actor,False,Robert Redford,The Sting
1973,46,Actor in a Supporting Role,False,Vincent Gardenia,Bang the Drum Slowly
1973,46,Actor in a Supporting Role,False,Jack Gilford,Save the Tiger
1973,46,Actor in a Supporting Role,True,John Houseman,The Paper Chase
1973,46,Actor in a Supporting Role,False,Jason Miller,The Exorcist
1973,46,Actor in a Supporting Role,False,Randy Quaid,The Last Detail
1973,46,Actress,False,Ellen Burstyn,The Exorcist
1973,46,Actress,True,Glenda Jackson,A Touch of Class
1973,46,Actress,False,Marsha Mason,Cinderella Liberty
1973,46,Actress,False,Barbra Streisand,The Way We Were
1973,46,Actress,False,Joanne Woodward,"Summer Wishes, Winter Dreams"
1973,46,Actress in a Supporting Role,False,Linda Blair,The Exorcist
1973,46,Actress in a Supporting Role,False,Candy Clark,American Graffiti
1973,46,Actress in a Supporting Role,False,Madeline Kahn,Paper Moon
1973,46,Actress in a Supporting Role,True,Tatum O'Neal,Paper Moon
1973,46,Actress in a Supporting Role,False,Sylvia Sidney,"Summer Wishes, Winter Dreams"
1974,47,Actor,True,Art Carney,Harry and Tonto
1974,47,Actor,False,Albert Finney,Murder on the Orient Express
1974,47,Actor,False,Dustin Hoffman,Lenny
1974,47,Actor,False,Jack Nicholson,Chinatown
1974,47,Actor,False,Al Pacino,The Godfather Part II
1974,47,Actor in a Supporting Role,False,Fred Astaire,The Towering Inferno
1974,47,Actor in a Supporting Role,False,Jeff Bridges,Thunderbolt and Lightfoot
1974,47,Actor in a Supporting Role,True,Robert De Niro,The Godfather Part II
1974,47,Actor in a Supporting Role,False,Michael V. Gazzo,The Godfather Part II
1974,47,Actor in a Supporting Role,False,Lee Strasberg,The Godfather Part II
1974,47,Actress,True,Ellen Burstyn,Alice Doesn't Live Here Anymore
1974,47,Actress,False,Diahann Carroll,Claudine
1974,47,Actress,False,Faye Dunaway,Chinatown
1974,47,Actress,False,Valerie Perrine,Lenny
1974,47,Actress,False,Gena Rowlands,A Woman under the Influence
1974,47,Actress in a Supporting Role,True,Ingrid Bergman,Murder on the Orient Express
1974,47,Actress in a Supporting Role,False,Valentina Cortese,Day for Night
1974,47,Actress in a Supporting Role,False,Madeline Kahn,Blazing Saddles
1974,47,Actress in a Supporting Role,False,Diane Ladd,Alice Doesn't Live Here Anymore
1974,47,Actress in a Supporting Role,False,Talia Shire,The Godfather Part II
1975,48,Actor,False,Walter Matthau,The Sunshine Boys
1975,48,Actor,True,Jack Nicholson,One Flew over the Cuckoo's Nest
1975,48,Actor,False,Al Pacino,Dog Day Afternoon
1975,48,Actor,False,Maximilian Schell,The Man in the Glass Booth
1975,48,Actor,False,James Whitmore,"Give 'em Hell, Harry!"
1975,48,Actor in a Supporting Role,True,George Burns,The Sunshine Boys
1975,48,Actor in a Supporting Role,False,Brad Dourif,One Flew over the Cuckoo's Nest
1975,48,Actor in a Supporting Role,False,Burgess Meredith,The Day of the Locust
1975,48,Actor in a Supporting Role,False,Chris Sarandon,Dog Day Afternoon
1975,48,Actor in a Supporting Role,False,Jack Warden,Shampoo
1975,48,Actress,False,Isabelle Adjani,The Story of Adele H.
1975,48,Actress,False,Ann-Margret,Tommy
1975,48,Actress,True,Louise Fletcher,One Flew over the Cuckoo's Nest
1975,48,Actress,False,Glenda Jackson,Hedda
1975,48,Actress,False,Carol Kane,Hester Street
1975,48,Actress in a Supporting Role,False,Ronee Blakley,Nashville
1975,48,Actress in a Supporting Role,True,Lee Grant,Shampoo
1975,48,Actress in a Supporting Role,False,Sylvia Miles,"Farewell, My Lovely"
1975,48,Actress in a Supporting Role,False,Lily Tomlin,Nashville
1975,48,Actress in a Supporting Role,False,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough
1976,49,Actor in a Leading Role,False,Robert De Niro,Taxi Driver
1976,49,Actor in a Leading Role,True,Peter Finch,Network
1976,49,Actor in a Leading Role,False,Giancarlo Giannini,Seven Beauties
1976,49,Actor in a Leading Role,False,William Holden,Network
1976,49,Actor in a Leading Role,False,Sylvester Stallone,Rocky
1976,49,Actor in a Supporting Role,False,Ned Beatty,Network
1976,49,Actor in a Supporting Role,False,Burgess Meredith,Rocky
1976,49,Actor in a Supporting Role,False,Laurence Olivier,Marathon Man
1976,49,Actor in a Supporting Role,True,Jason Robards,All the President's Men
